_id,Name,Office phone,Website,LGA,Address,Suburb,Post code,Facility type,Latitude,Longitude
157,Toobeah,(07) 4671 7440,http://www.goondiwindirc.qld.gov.au,Goondiwindi Regional Council,Barwon Highway,Toobeah,4498,Landfill,-28.418394,149.86616
158,Yelarbon Landfill,(07) 4671 7440,http://www.goondiwindirc.qld.gov.au,Goondiwindi Regional Council,East of Sawmill Road,Yelarbon,4388,Landfill,-28.569139,150.769785
159,Goomeri Waste Management Facility,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Lot 108 Burnett Highway,Goomeri,4601,Landfill,-26.155487,152.066695
160,Gunalda Waste Management Facility,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Lot 141 Balkin Street,Gunalda,4570,Landfill,-25.999876,152.562833
161,Gympie Landfill,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Lot 542 Bonnick Road,Gympie,4570,Landfill,-26.168545,152.655048
162,Kilkivan Waste Management Facility,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,McKewen Road,Kilkivan,4570,Landfill,-26.076748,152.228443
163,Mary Valley Waste Transfer Station,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Lot 1 Kandanga-Imbil Road,Imbil,4570,Transfer station,-26.438599,152.686006
164,Rainbow Beach Waste Management Facility,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Lot 3 Carlo Road,Rainbow Beach,4581,Landfill,-25.91382,153.076695
165,Southside Waste Management Facility,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Glastonbury Road,Widgee Crossing South,4570,Landfill,-26.203059,152.609518
166,Tin Can Bay Waste Management Facility,1300 307 800,http://www.gympie.qld.gov.au,Gympie Regional Council,Lot 58 Snapper Creek Road,Tin Can Bay,4580,Landfill,-25.917401,152.988199
167,Warrens Hill Waste Management Facility,(07) 4776 4600,http://www.hinchinbrook.qld.gov.au,Hinchinbrook Shire Council,45 Bosworths Road,Warrens Hill,4850,Landfill,-18.692822,146.213056
168,Hope Vale Landfill,(07) 4083 8000,http://www.hopevale.qld.gov.au,Hope Vale Aboriginal Shire Council,Dump Road,Hope Vale,4895,Landfill,-15.283955,145.113727
169,Chip Tyre - New Chum,(07) 3816 2711,http://www.chiptyre.com,Ipswich City Council,251 Austin Street,New Chum,4303,Tyre recycling,-27.630883,152.819987
170,Haggarty Group - West Ipswich,(07) 3281 8144,http://www.haggarty.com.au,Ipswich City Council,347-349 Brisbane Street,West Ipswich,4305,Metal recycling,-27.621208,152.747419
171,Riverview Waste Transfer Station,(07) 3810 6666,http://www.ipswich.qld.gov.au,Ipswich City Council,81 Riverview Road,Riverview,4303,Transfer station,-27.590725,152.840456
172,Rosewood Waste Transfer Station,(07) 3810 6666,http://www.ipswich.qld.gov.au,Ipswich City Council,94 Oakleigh Colliery Road,Rosewood,4340,Transfer station,-27.615591,152.581753
173,Clermont Resource Recovery Centre,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,Turruma Road,Clermont,4721,Landfill,-22.808458,147.638298
174,Dysart Landfill,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,Dysart - Clermont Road,Dysart,4746,Landfill,-22.596267,148.330338
175,Glenden Landfill,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,Ewan Drive,Glenden,4742,Landfill,-21.371694,148.116075
176,Middlemount Landfill,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,Nolan Drive,Middlemount,4746,Landfill,-22.814772,148.686499
177,Moranbah Resource Recovery Centre,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,Thorpe Street,Moranbah,4744,Landfill,-21.986012,148.020268
178,Nebo Waste Facility,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,Peak Downs Highway,Nebo,4742,Landfill,-21.678964,148.693782
179,St Lawrence Resource Recovery Centre,1300 472 227,http://www.isaac.qld.gov.au,Isaac Regional Council,St Lawrence Connection Road,St Lawrence,4707,Landfill,-22.361713,149.507065
180,Koyanyama Refuse Tip,(07) 4083 7100,http://www.kowanyama.qld.gov.au,Kowanyama Aboriginal Shire Council,Cnr Koltmonun and Pindi Street,Kowanyama,4892,Landfill,-15.473954,141.739462
181,Cawarral Waste Management Facility,(07) 4939 9981,http://www.livingstone.qld.gov.au,Livingstone Shire Council,Cnr Cawarral & Botos Roads,Cawarral,4702,Transfer station,-23.288984,150.673207
182,Emu Park Waste Management Facility,(07) 4939 9981,http://www.livingstone.qld.gov.au,Livingstone Shire Council,Scenic Highway,Emu Park,4710,Transfer station,-23.233491,150.808225
183,Stanage Bay Waste Management Facility,(07) 4939 9981,http://www.livingstone.qld.gov.au,Livingstone Shire Council,King Street (off Stanage Bay Road),Stanage Bay,4702,Landfill,-22.139259,150.046623
184,Yeppoon Landfill,(07) 4939 9981,http://www.livingstone.qld.gov.au,Livingstone Shire Council,2745 Yeppoon Road,Barmaryee,4703,Landfill,-23.15668,150.707308
185,Lockhart River Tip,(07) 4060 7144,http://www.lockhart.qld.gov.au,Lockhart River Aboriginal Shire Council,1.5 km south of Lockhart River,Lockhart River,4871,Landfill,-12.798941,143.345622
186,Gatton Landfill,1300 005 872,http://www.lockyervalley.qld.gov.au,Lockyer Valley Regional Council,32 Treatment Plant Road / Fords Road,Gatton,4343,Landfill,-27.536055,152.281834
187,Grantham Transfer Station,1300 005 872,http://www.lockyervalley.qld.gov.au,Lockyer Valley Regional Council,Back Ma Ma Road,Grantham,4347,Transfer station,-27.599784,152.202869
188,Helidon Transfer Station,1300 005 872,http://www.lockyervalley.qld.gov.au,Lockyer Valley Regional Council,70 Seventeen Mile Road,Helidon,4344,Transfer station,-27.543754,152.133885
189,Laidley Transfer Station,1300 005 872,http://www.lockyervalley.qld.gov.au,Lockyer Valley Regional Council,Burgess & Glencairn Roads,Laidley Heights,4341,Transfer station,-27.62805,152.363164
190,Murphys Creek Transfer Station,1300 005 872,http://www.lockyervalley.qld.gov.au,Lockyer Valley Regional Council,90 Milora Road,Upper Lockyer,4352,Transfer station,-27.478147,152.061908
191,Sunstate Recyclers - Laidley,(07) 5465 1006,"",Lockyer Valley Regional Council,33 Vaux Street,Laidley,4341,Metal recycling,-27.645455,152.389254
192,Withcott Transfer Station,1300 005 872,http://www.lockyervalley.qld.gov.au,Lockyer Valley Regional Council,Spa Water Road,Blanchview,4352,Transfer station,-27.553557,152.051979
193,Browns Plains Smart Tip,(07) 3412 3412,http://www.logan.qld.gov.au,Logan City Council,349 Browns Plains Road,Heritage Park,4118,Landfill,-27.674202,153.068901
194,Carbrook Transfer Station,(07) 3412 3412,http://www.logan.qld.gov.au,Logan City Council,1801 Mount Cotton Road,Cornubia,4130,Transfer station,-27.653215,153.234631
195,Greenbank Transfer Station,(07) 3412 3412,http://www.logan.qld.gov.au,Logan City Council,124-142 Pub Lane (cnr Equestrian Drive),Greenbank,4124,Transfer station,-27.737705,152.971314
196,Logan Village Transfer Station,(07) 3412 3412,http://www.logan.qld.gov.au,Logan City Council,1406 - 1432 Waterford - Tamborine Road,Logan Village,4207,Transfer station,-27.787136,153.101578
197,Molectra Technologies - Loganholme,(07) 3440 8900,http://www.molectra.com.au,Logan City Council,1 Riverland Drive,Loganholme,4129,Tyre recycling,-27.684175,153.191222
198,V Resource - Loganholme,(07) 3806 3306,http://www.vh-int.com,Logan City Council,33 Henry Street,Loganholme,4129,Battery recycling,-27.681483,153.189873
199,Isisford Landfill,(07) 4658 4111,http://www.longreach.qld.gov.au,Longreach Regional Council,Saint Osyth Street,Isisford,4731,Landfill,-24.262537,144.432826
200,Longreach Landfill,(07) 4658 4111,http://www.longreach.qld.gov.au,Longreach Regional Council,Longreach -Tocal Road,Longreach,4730,Landfill,-23.472024,144.205556
201,Yaraka Landfill,(07) 4658 4111,http://www.longreach.qld.gov.au,Longreach Regional Council,Emmet - Yaraka Road,Yaraka,4702,Landfill,-24.87762,144.072176
202,AJK Contracting - Mackay,(07) 4942 6363,http://www.ajkmackay.com.au,Mackay Regional Council,59 Talty Road,Mackay,4740,"Construction and demolition recycling, Organic processing",-21.141951,149.151789
203,Bayersville Green Waste facility,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,Harbour Road,Mackay Harbour,4740,Transfer station,-21.115088,149.203857
204,Eungella Transfer Station,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,Bee Creek Road,Eungella,4576,Transfer station,-21.130128,148.485207
205,Finch Hatton Transfer Station,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,Trueman Depot Road,Finch Hatton,4741,Transfer station,-21.140541,148.658577
206,Gargett Rural Transfer Station,1300 622 529,http://www.mackay.qld.gov.au/,Mackay Regional Council,Dump Road,Gargett,4741,Transfer station,-21.156155,148.760325
207,Hay Point Rural Transfer Station ,1300 622 529,http://www.mackay.qld.gov.au/,Mackay Regional Council,Cedar Street,Hay Point,4740,Transfer station,-21.287148,149.258665
208,J.J. Richards - Mackay,(07) 3488 9600,http://www.jjrichards.com.au,Mackay Regional Council,17-21 Michelmore Street,Paget,4740,Transfer station,-21.178899,149.167684
209,Kolijo Rural Transfer Station,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,Pelion Road,Calen,4798,Transfer station,-20.904208,148.791368
210,Koumala Transfer Station,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,Bolingbroke Road,Koumala,4798,Transfer station,-21.608764,149.242014
211,Olgivie Constructions - Blue River Landscape Supplies,(07) 4942 0154,http://www.blueriver.net.au/,Mackay Regional Council,12 Old Foulden Road,Foulden,4740,Organic processing,-21.141271,149.146207
212,Otterburn Rural Transfer Station ,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,Brand Road,Mirani,4754,Transfer station,-21.16951,148.896418
213,Paget Waste Management Centre,1300 622 529,http://www.mackay.qld.gov.au,Mackay Regional Council,42 Crichtons Road,Paget,4740,Transfer station,-21.193193,149.163421
214,Sarina Rural Transfer Station ,1300 622 529,http://www.mackay.qld.gov.au/services/waste/projects,Mackay Regional Council,Brooks Road,Sarina,4737,Transfer station,-21.416567,149.241435
215,Seaforth Rural Transfer Station ,1300 622 529,http://www.mackay.qld.gov.au/services/waste/projects,Mackay Regional Council,Yakapari - Seaforth Road,Seaforth,4741,Transfer station,-20.906624,148.964753
216,Mapoon Waste Facility,(07) 4090 9124,http://www.mapoon.com,Mapoon Aboriginal Shire Council,Andoom Road (1 km south of Airport),Mapoon,4874,Landfill,-12.075116,141.902413
217,Injune Refuse Site,(07) 4624 0629,http://www.maranoa.qld.gov.au,Maranoa Regional Council,Womblebank Gap Road,Injune,4454,Landfill,-25.827979,148.552924
218,Jackson Refuse Site,(07) 4624 0629,http://www.maranoa.qld.gov.au,Maranoa Regional Council,Pei Road,Jackson,4426,Landfill,-26.648429,149.630088
219,Mitchell Refuse Site,(07) 4624 0629,http://www.maranoa.qld.gov.au,Maranoa Regional Council,St George Road,Mitchell,4465,Landfill,-26.498928,147.991379
220,Roma Waste Facility,(07) 4624 0629,http://www.maranoa.qld.gov.au,Maranoa Regional Council,269 Short Street,Roma,4455,Landfill,-26.551098,148.806238
221,Surat Refuse Site,(07) 4624 0629,http://www.maranoa.qld.gov.au,Maranoa Regional Council,Silver Springs Road,Surat,4417,Landfill,-27.172443,149.083841
222,Wallumbilla Refuse Site,(07) 4624 0629,http://www.maranoa.qld.gov.au,Maranoa Regional Council,Tip Road,Wallumbilla,4428,Landfill,-26.58223,149.198928
223,Almaden Landfill,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,Burke Development Road,Almaden,4871,Landfill,-17.340085,144.670565
224,Chillagoe Landfill,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,35 Smelter Road,Chillagoe,4871,Landfill,-17.1485,144.511434
225,Dimbulah Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,105 Raleigh Street,Dimbulah,4872,Transfer station,-17.13987,145.117488
226,Irvinebank Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,Herberton - Petford Road,Irvinebank,4887,Transfer station,-17.420731,145.220643
227,Julatten Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,1027 Euluma Creek Road,Julatten,4871,Transfer station,-16.604791,145.353234
228,Kuranda Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,2186 Kennedy Highway,Kuranda,4881,Transfer station,-16.87033,145.585001
229,Mareeba Landfill,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,38 Vaughan Street,Mareeba,4880,Landfill,-16.9897,145.408298
230,Mount Carbine Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,Cemetery Road,Mount Carbine,4871,Transfer station,-16.527613,145.114829
231,Mount Molloy Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,97 Bakers Road,Mount Molloy,4871,Transfer station,-16.688084,145.323714
232,Mutchilba Transfer Station,(07) 4086 4662,http://www.msc.qld.gov.au,Mareeba Shire Council,3834 Mareeba - Dimbula Road,Mutchilba,4872,Transfer station,-17.129153,145.190916
233,Julia Creek Recycling and Waste Management Facility,(07) 4746 7166,http://www.mckinlay.qld.gov.au,McKinlay Shire Council,Old Normanton Road,Julia Creek,4825,Landfill,-20.647954,141.732667
234,Kynuna Landfill,(07) 4746 7166,http://www.mckinlay.qld.gov.au,McKinlay Shire Council,Landsborough Highway,Kynuna,4823,Landfill,-21.580861,141.906969
235,McKinlay Landfill,(07) 4746 7166,http://www.mckinlay.qld.gov.au,McKinlay Shire Council,Landsborough Highway,McKinlay,4823,Landfill,-21.281551,141.307464
236,Nelia Landfill,(07) 4746 7166,http://www.mckinlay.qld.gov.au,McKinlay Shire Council,Nelia - Bunda Road,Nelia,4823,Landfill,-20.663408,142.208559
237,Bunya Landfill,(07) 3205 0555,http://www.moretonbay.qld.gov.au,Moreton Bay Regional Council,384 Bunya Road,Bunya,4055,Landfill,-27.382936,152.941445
238,Caboolture Landfill,(07) 3205 0555,http://www.moretonbay.qld.gov.au,Moreton Bay Regional Council,51 McNaught Road,Caboolture,4510,Landfill,-27.07375,152.990718
239,Caylamax Recycling - Brendale,(07) 3481 5888,http://www.caylamax.com.au,Moreton Bay Regional Council,83 Kremzow Road,Brendale,4500,Construction and demolition recycling,-27.316312,152.973014
240,Dakabin Landfill,(07) 3205 0555,http://www.moretonbay.qld.gov.au,Moreton Bay Regional Council,336 Old Gympie Road,Dakabin,4503,Landfill,-27.224876,152.991521
241,Kennedys Timbers and Narangba Resource Recovery Centre,(07) 3293 0528,http://www.kennedystimbers.com.au,Moreton Bay Regional Council,200-228 Potassium Street,Narangba,4504,"Construction and demolition recycling, Transfer station",-27.198887,152.989906
242,Moreton Bay Recycling - Narangba,(07) 3293 4949,"",Moreton Bay Regional Council,179 Boundary Road,Narangba,4504,Construction and demolition recycling,-27.205704,152.999114
243,Peninsula Metal Recycling - Redcliffe,(07) 3284 4996,http://pmrecycling.com.au,Moreton Bay Regional Council,268 Duffield Road,Clontarf Beach,4019,Metal recycling,-27.240945,153.080864
244,Redcliffe Transfer Station,(07) 3205 0555,http://www.moretonbay.qld.gov.au,Moreton Bay Regional Council,261 Duffield Road,Clontarf,4019,Transfer station,-27.241081,153.079514
245,Mt Isa Landfill,(07) 4747 3223,http://www.mountisa.qld.gov.au,Mt Isa City Council,Jessop Drive (from the Sunset Cemetery for 1.8km),Mt Isa,4825,Landfill,-20.7078,139.52136
246,Mt Isa Metal Recyclers - Duchess Road,(07) 4749 1235,"",Mt Isa City Council,195 - 199 Duchess Road,Mt Isa,4825,Metal recycling,-20.764743,139.498107
247,Augathella Landfill,(07) 4656 8355,http://www.murweh.qld.gov.au,Murweh Shire Council,Lot 111 275 Old Tambo Road,Augathella,4477,Landfill,-25.772562,146.588625
248,Charleville Landfill,(07) 4656 8355,http://www.murweh.qld.gov.au,Murweh Shire Council,Lot 150 282 Bollon Road,Charleville,4470,Landfill,-26.428756,146.257131
249,Morven Landfill,(07) 4656 8355,http://www.murweh.qld.gov.au,Murweh Shire Council,Mt Maria Road,Morven,4468,Landfill,-26.398758,147.119677
250,Eumundi Road Landfill,(07) 5329 6300,http://www.noosa.qld.gov.au,Noosa Shire Council,561 Eumundi - Noosa Road,Doonan,4562,Landfill,-26.436671,153.024941
251,Biggenden Waste Management Facility,(07) 4160 3553,http://www.northburnett.qld.gov.au,North Burnett Regional Council,Old Coach Road,Biggenden,4646,Landfill,-25.500367,152.056917
252,Eidsvold Waste Management Facility,(07) 4160 3553,http://www.northburnett.qld.gov.au,North Burnett Regional Council,Hollywell Road,Eidsvold,4627,Landfill,-25.369491,151.13433
253,Gayndah Waste Management Facility,(07) 4160 3553,http://www.northburnett.qld.gov.au,North Burnett Regional Council,Rifle Range Road,Gayndah,4625,Landfill,-25.606498,151.613389
254,Monto Waste Management Facility,(07) 4160 3553,http://www.northburnett.qld.gov.au,North Burnett Regional Council,34 Langs Road,Monto,4630,Landfill,-24.84779,151.147119
255,Mt Perry Waste Management Facility,(07) 4160 3553,http://www.northburnett.qld.gov.au,North Burnett Regional Council,Gayndah - Mt Perry Road,Mt Perry,4671,Landfill,-25.1945,151.656083
256,Munduberra Waste Management Facility,(07) 4160 3553,http://www.northburnett.qld.gov.au,North Burnett Regional Council,Middle Boyne Road,Boynewood,4626,Landfill,-25.608421,151.305178
257,Northern Peninsula Area Regional Council Landfill,(07) 4090 4100,http://www.nparc.qld.gov.au,Northern Peninsula Area Regional Council,Injinoo - Umagico Road,Bamaga,4876,Landfill,-10.894849,142.336339
258,Palm Island Transfer Station,(07) 4770 0200,http://www.piac.com.au,Palm Island Aboriginal Shire Council,Manbarra Road,Palm Island,4886,Landfill,-18.718733,146.586244
259,Cunnamulla Landfill,(07) 4655 8400,http://www.paroo.qld.gov.au,Paroo Shire Council,Arthur Street,Cunnamulla,4480,Landfill,-28.076948,145.696389
260,Pormpuraaw Council Landfill,(07) 4060 4155,http://www.pormpuraaw.qld.gov.au,Pormpuraaw Aboriginal Shire Council,Pormpuraaw Road,Pormpuraaw,4892,Landfill,-14.894888,141.626924
261,Adavale Landfill,(07) 4656 0500,http://www.quilpie.qld.gov.au,Quilpie Shire Council,Patricia Park Road,Adavale,4474,Landfill,-25.896763,144.612231
262,Eromanga Landfill,(07) 4656 0500,http://www.quilpie.qld.gov.au,Quilpie Shire Council,Cooper Development Road,Eromanga,4480,Landfill,-26.654567,143.292033
263,Quilpie Landfill,(07) 4656 0500,http://www.quilpie.qld.gov.au,Quilpie Shire Council,Cemetery Road,Quilpie,4480,Landfill,-26.601308,144.239755
264,Birkdale Waste Transfer Station ,(07) 3829 8999,http://www.redland.qld.gov.au,Redland City Council,555-589 Old Cleveland Road East,Birkdale,4159,Transfer station,-27.508988,153.225306
265,North Stradbroke Island Transfer Station,(07) 3829 8999,http://www.redland.qld.gov.au,Redland City Council,"East Coast Road, Myora",North Stradbroke Island,4184,Transfer station,-27.451365,153.453496
266,Redland Bay Transfer Station,(07) 3829 8999,http://www.redland.qld.gov.au,Redland City Council,761-789 German Church Road,Redland Bay,4165,Transfer station,-27.627586,153.286398
267,Resource Recoveries and Recycling - Mt Cotton,(07) 3206 0022,http://www.rrrecycle.com.au/,Redland City Council,706 Mount Cotton Road,Sheldon,4157,Construction and demolition recycling,-27.576028,153.220818
268,Richmond Waste Disposal Facility,(07) 4741 3277,http://www.richmond.qld.gov.au,Richmond Shire Council,Saleyard Road,Richmond,4822,Landfill,-20.751022,143.137814
269,Alton Downs Waste Management Facility,1300 225 577,http://www.rockhamptonregion.qld.gov.au,Rockhampton Regional Council,1890 Ridgelands Road,Alton Downs,4702,Transfer station,-23.294625,150.32789
270,Bouldercombe Transfer Station,1300 225 577,http://www.rockhamptonregion.qld.gov.au,Rockhampton Regional Council,116 Inslay Avenue,Bouldercombe,4702,Transfer station,-23.554099,150.463658
271,Gracemere Landfill,1300 225 577,http://www.rockhamptonregion.qld.gov.au,Rockhampton Regional Council,Cnr Allen & Lucas Roads,Gracemere,4702,Landfill,-23.46082,150.473453
272,Lakes Creek Road Landfill,1300 225 577,http://www.rockhamptonregion.qld.gov.au,Rockhampton Regional Council,152 Lakes Creek Road,Lakes Creek,4702,Landfill,-23.374593,150.532722
273,Mount Morgan Transfer Station ,1300 225 577,http://www.rockhamptonregion.qld.gov.au,Rockhampton Regional Council,Racecourse / Glenprairie Road,Mt Morgan,4714,Transfer station,-23.658862,150.380213
274,Queensland Metal Recyclers - North Rockhampton,(07) 3386 1477,http://www.qldmetals.com,Rockhampton Regional Council,41 Dooley Street,North Rockhampton,4701,Metal recycling,-23.36127,150.511723
275,Central Waste Management Facility,(07) 5540 5111,http://www.scenicrim.qld.gov.au,Scenic Rim Regional Council,Waste Facility Road,Bromelton,4285,Landfill,-27.973128,152.930575
276,Esk Refuse and Recycling Centre and Landfill,(07) 5424 4000,http://www.somerset.qld.gov.au,Somerset Regional Council,Murrumba Road (3km out off Esk-Kilcoy Road),Coal Creek,4312,Landfill,-27.201886,152.440289
277,Blackbutt Transfer Station,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,D'Aguilar Highway,Blackbutt,4306,Transfer station,-26.893493,152.128352
278,Brigooda Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Proston - Boondooma Road,Brigooda,4613,Landfill,-26.26642,151.378767
279,Cloyna Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Cloyna Road West,Cloyna,4605,Landfill,-26.110964,151.828404
280,Durong Waste Facility ,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Wondai Chinchilla Road,Wondai,4610,Landfill,-26.392118,151.288187
281,Hivesville Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Oberles Road,Hivesville,4613,Landfill,-26.173902,151.699144
282,Kingaroy Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Luck Road,Kingaroy,4610,Landfill,-26.553863,151.792504
283,Kumbia Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au/,South Burnett Regional Council,Kearneys Road,Kumbia,4610,Landfill,-26.690193,151.660099
284,Murgon Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Borcherts Hill Road,Murgon,4605,Landfill,-26.253931,151.979871
285,Nanango Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Finlay Road,Nanango,4615,Landfill,-26.697898,151.99345
286,Proston Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Bereford Road,Proston,4613,Landfill,-26.1692,151.605331
287,Wondai Waste Facility,(07) 4189 9100,http://www.southburnett.qld.gov.au,South Burnett Regional Council,Charlestown Road,Wondai,4606,Landfill,-26.334581,151.859065
288,Allora Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Burges Road,Allora,4362,Transfer station,-28.026808,151.986958
289,Dalveen Landfill,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Old Stanthorpe Road,Dalveen,4370,Landfill,-28.476953,151.980924
290,Forest Springs Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Forest Springs - Goomburra Road,Forest Springs,4370,Transfer station,-27.997738,152.103913
291,Greymare Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Mountain Maid Road,Greymare,4370,Transfer station,-28.217232,151.757679
292,Karara Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Toowoomba Karara Road,Karara,4352,Transfer station,-28.205108,151.561273
293,Killarney Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Killarney Barlows Gate Road,Killarney,4373,Transfer station,-28.351151,152.27689
294,Leyburn Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Donavon Road,Leyburn,4365,Transfer station,-28.028091,151.590412
295,Maryvale Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Whites Road,Maryvale,4370,Transfer station,-28.08124,152.23964
296,Pratten Waste Transfer Station,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Springate Lane,Pratten,4370,Transfer station,-28.080686,151.780542
297,Stanthorpe Waste Management Facility,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Rifle Range Road,Stanthorpe,4380,Landfill,-28.67942,151.938151
298,Wallangarra Waste Transfer Station,1300 697 372,http://www.sdrc.qld.gov.au/council/contact-us,Southern Downs Regional Council,Hines Road,Wallangarra,4383,Transfer station,-28.911461,151.925513
299,Warwick Central Waste Management Facility,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Old Stanthorpe Road,Warwick,4370,Landfill,-28.255077,152.046412
300,Warwick Scrap Metal and Recycling,(07) 4661 7922,"",Southern Downs Regional Council,43 Progress Street,Warwick,4370,Metal recycling,-28.238386,152.03949
301,Yangan Landfill,(07) 4661 0410,http://www.sdrc.qld.gov.au/,Southern Downs Regional Council,Studwick's Road,Yangan,4371,Landfill,-28.226148,152.20424
302,Beerwah Resource Recovery Centre,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,121 Roberts Road,Beerwah,4519,Transfer station,-26.859784,152.946241
303,Buderim Resource Recovery Centre,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,Syd Lingard Drive,Buderim,4556,Transfer station,-26.684246,153.098898
304,Caloundra Landfill and Resource Recovery Centre,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,171 Pierce Avenue,Caloundra,4551,Landfill,-26.786545,153.068502
305,Kenilworth Transfer Station (Council website says: Brooloo Road),(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,Cambroon Lane,Kenilworth,4574,Transfer station,-26.582768,152.721858
306,Mapleton Transfer Station,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,111 Delicia Road,Mapleton,4560,Transfer station,-26.62595,152.854928
307,Nambour Resource and Recovery Centre/Landfill,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,26 - 40 Cooney Road,Nambour,4560,Landfill,-26.614702,152.980316
308,Witta Resource Recovery Centre,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,Cnr Cooke and Witta Roads,Witta,4552,Transfer station,-26.705368,152.826731
309,Yandina Transfer Station,(07) 5475 7272,http://www.sunshinecoast.qld.gov.au/,Sunshine Coast Regional Council,Browns Creek Road,Yandina,4561,Transfer station,-26.547998,152.94127
310,Bassett Barks - Mt Beerwah,(07) 5439 3461,http://www.bassettbarks.com.au/,Sunshine Coast Regional Council ,57 Mt Beerwah Road,Glasshouse Mountains,4518,Organic processing,-26.916841,152.918934
311,"Atherton Transfer Station, Landfill & Recycling Centre",(07) 4043 4758,http://www.trc.qld.gov.au,Tablelands Regional Council,310 Herberton Road,Atherton,4883,Landfill,-17.2914,145.4726
312,Herberton Transfer Station,1300 362 242,http://www.trc.qld.gov.au/,Tablelands Regional Council,Syme Road,Herberton,4887,Transfer station,-17.395188,145.374098
